RunSeq	PlatePos	pid	omics_subset	vialLabel	bid	sex	timepoint	Total ketones	NEFA	Lactate	Glucose	Glycerol	Glucagon	Insulin	Leptin	Corticosterone
17	117	10901434	x	90567013111	90567	female	1W	1006	0.72	1.01	143	1.33	96	2203	11129	70
87	307	10934529	x	90569013104	90569	female	1W	866	0.46	1.17	168	0.77	88.2	1965	9144	61
90	310	10953744	x	90571013111	90571	female	1W	645	0.42	1.31	146	1.14	133.1	2302	12808	96
91	311	10950486	x	90559013111	90559	female	1W	865	0.60	1.39	161	1.07	88.7	1920	9698	44
105	325	10700102	x	90560013111	90560	female	1W	887	0.80	1.17	161	1.59	59	2098	14513	5
138	418	10833331	x	90564013111	90564	female	1W	1082	0.72	1.13	132	1.42	149.4	2633	9687	32
3	103	10886028		90565013104	90565	female	1W	1158	0.78	1.11	141	1.82	80.4	2357	17774	58
67	227	10962735		90572013104	90572	female	1W	981	0.62	1.11	146	1.25	83.9	1683	10864	23
92	312	10760008		90573013104	90573	female	1W	572	0.33	1.41	182	1.18	55	2871	16708	18
93	313	10784616		90563013104	90563	female	1W	661	0.62	1.30	153	1.48	63.1	1745	20695	49
106	326	10901000		90566013104	90566	female	1W	645	0.55	1.44	165	1.20	76.6	2843	17137	20
109	329	10914331		90568013104	90568	female	1W	900	0.55	1.30	155	1.70	95.5	2034	11022	37
125	405	10770666		90561013104	90561	female	1W	1080	0.66	1.40	138	1.15	149.6	1406	8485	23
143	423	10780629		90562013104	90562	female	1W	513	0.54	1.69	174	0.96	41.3	2272	11870	40
145	425	10950648		90570013104	90570	female	1W	660	0.67	1.66	174	1.40	95.3	2671	18207	68
2	102	10561072	x	90430013111	90430	male	1W	473	0.98	1.44	171	1.92	38.6	3702	50383	70
44	204	10417702	x	90421013111	90421	male	1W	798	0.71	1.01	184	1.26	43.3	5537	35424	127
54	214	10619259	x	90432013104	90432	male	1W	626	0.66	1.19	171	1.02	18.1	2755	42103	84
89	309	10424911	x	90423013111	90423	male	1W	396	0.76	1.52	176	1.38	35	2605	33978	84
101	321	10503110	x	90426013111	90426	male	1W	519	0.83	1.20	185	1.49	27.5	2949	35022	24
146	426	10422463	x	90422013111	90422	male	1W	743	0.91	1.10	162	1.30	36.6	3511	28431	62
4	104	10675086		90434013104	90434	male	1W	687	1.12	1.02	172	2.32	26.7	4173	31187	18
16	116	10677887		90435013104	90435	male	1W	766	1.11	1.04	173	1.64	58.4	4232	52334	139
53	213	10471596		90424013104	90424	male	1W	851	0.83	1.19	172	1.40	19.1	3756	35740	59
84	304	10553053		90429013104	90429	male	1W	462	0.57	1.02	160	1.03	20	4342	33106	60
85	305	10478337		90425013104	90425	male	1W	874	0.72	1.13	160	1.28	50.2	3616	23112	21
110	330	10536558		90427013104	90427	male	1W	438	0.98	1.19	175	1.03	50.5	3116	32867	24
111	331	10616233		90431013104	90431	male	1W	442	0.63	1.46	182	1.12	41.2	2795	21101	58
129	409	10543767		90428013104	90428	male	1W	950	1.04	1.19	188	1.27	38.7	2483	40635	52
137	417	10621903		90433013104	90433	male	1W	543	1.26	1.36	178	1.25	22.3	2890	29541	10
11	111	10734945	x	90578013111	90578	female	2W	972	0.77	1.16	146	1.15	4.3	2169	12917	31
28	128	10871349	x	90585013111	90585	female	2W	1003	0.71	1.35	150	1.30	139	2084	9898	78
49	209	10680837	x	90574013104	90574	female	2W	1039	0.77	1.25	130	1.50	66.4	1921	12579	14
58	218	10729518	x	90576013111	90576	female	2W	767	0.64	1.43	150	1.41	58.7	2195	13772	33
100	320	10971645	x	90587013111	90587	female	2W	1053	0.59	1.16	131	0.90	152.9	5701	8930	18
131	411	10761160	x	90581013111	90581	female	2W	1059	0.76	1.37	141	1.29	78.9	1400	11991	58
15	115	10972374		90588013104	90588	female	2W	681	0.79	1.29	155	1.22	53.1	2412	20258	67
32	132	10782168		90582013104	90582	female	2W	970	1.03	1.11	120	2.05	105.8	1340	6072	55
36	136	10732306		90577013104	90577	female	2W	1027	1.00	1.19	150	1.21	102.7	2724	9891	42
62	222	10877894		90586013104	90586	female	2W	1034	0.68	1.31	147	1.27	108.9	2911	14068	49
127	407	10830073		90583013104	90583	female	2W	594	0.68	1.29	158	1.33	48.4	2129	8291	37
128	408	10756086		90580013104	90580	female	2W	361	0.41	1.48	180	1.00	69.4	2661	15774	46
130	410	10742611		90579013104	90579	female	2W	881	0.65	1.19	152	1.34	121	2530	12676	37
140	420	10858679		90584013104	90584	female	2W	897	0.75	1.11	145	1.36	97.4	2311	10619	5
141	421	10702741		90575013104	90575	female	2W	969	0.83	1.14	162	1.06	95.7	2636	5776	22
23	123	10672656	x	90450013111	90450	male	2W	533	0.56	1.20	186	1.05	14.2	5171	19523	130
27	127	10587543	x	90444013111	90444	male	2W	660	0.96	1.24	162	1.55	24.1	3122	29705	23
66	226	10589325	x	90445013104	90445	male	2W	656	0.75	1.47	169	1.32	33.5	2963	16875	44
73	233	10502300	x	90441013111	90441	male	2W	552	0.75	1.29	182	1.50	25.7	3251	23146	5
77	237	10486003	x	90439013111	90439	male	2W	937	1.02	1.27	176	1.76	37.6	2553	19912	5
132	412	10641858	x	90449013111	90449	male	2W	538	0.95	2.30	178	1.80	44.3	2380	24000	66
5	105	10434046		90436013104	90436	male	2W	681	0.69	1.45	171	1.31	19.9	2682	24704	108
25	125	10611193		90447013104	90447	male	2W	439	0.60	1.23	169	0.97	30.6	4380	32657	72
38	138	10436170		90437013104	90437	male	2W	727	1.01	1.46	178	1.71	39.3	3232	25782	10
40	140	10472053		90438013104	90438	male	2W	729	0.87	1.23	156	1.69	40.1	3441	20161	127
46	206	10637079		90448013104	90448	male	2W	349	0.54	1.10	192	0.84	17.7	4213	25538	26
63	223	10531599		90442013104	90442	male	2W	527	0.79	1.59	194	1.41	42.7	3359	30234	41
70	230	10564179		90443013104	90443	male	2W	643	0.85	1.24	187	0.99	49	3948	39409	117
115	335	10496580		90440013104	90440	male	2W	1029	1.08	1.31	170	1.37	37.5	2525	33368	63
118	338	10591575		90446013104	90446	male	2W	586	1.12	1.25	179	1.79	34.4	3586	32326	15
139	419	10306471	x	90406013111	90406	female	4W	597	0.57	1.22	163	1.06	74	1690	15390	87
96	316	10335064	x	90410013111	90410	female	4W	955	0.85	1.04	156	1.48	37.5	2792	14103	34
74	234	10381414	x	90416013111	90416	female	4W	603	0.69	1.30	166	1.42	54.8	2173	16226	5
78	238	10337199	x	90412013111	90412	female	4W	417	0.70	1.97	167	1.16	46.6	2035	14109	33
31	131	10314733	x	90408013104	90408	female	4W	535	0.58	1.36	175	0.93	68.8	2445	17602	26
80	240	10411690	x	90420013111	90420	female	4W	594	1.12	1.51	167	2.35	43.7	2351	16073	10
29	129	10356738		90414013104	90414	female	4W	515	1.04	1.95	154	2.30	54.5	6165	21537	62
8	108	10300007		90402013104	90402	female	4W	913	1.19	1.27	143	2.33	82.9	2967	11626	76
18	118	10335730		90411013104	90411	female	4W	384	0.60	1.56	167	1.25	57.7	2787	10914	29
35	135	10391800		90418013104	90418	female	4W	385					4.4	2350	11268	86
71	231	10398651		90419013104	90419	female	4W	481	0.90	1.65	183	1.57	81.9	4189	18306	31
72	232	10387021		90417013104	90417	female	4W	632	1.03	1.42	175	1.84	64.1	2803	26244	48
126	406	10284052		90404013104	90404	female	4W	518	0.47	1.76	161	1.64	12.3	2137	11226	87
86	306	10338918		90413013104	90413	female	4W	576	0.63	1.34	166	1.28	51.8	2209	15374	34
133	413	10282947		90403013104	90403	female	4W	708	0.62	1.39	174	1.11	59.7	1816	15706	57
47	207	10309659		90407013104	90407	female	4W	537	0.42	1.37	179	0.90	43	2077	12056	37
113	333	10315624		90409013104	90409	female	4W	705	0.79	1.54	170	1.20	59.9	2372	17740	5
142	422	10268871		90405013104	90405	female	4W	320					1.6	802	5990	29
135	415	10185585	x	90289013111	90289	male	4W	592	0.81	1.32	182	1.45	23.4	5629	54255	36
20	120	10095241	x	90280013111	90280	male	4W	377	0.73	2.09	173	1.43	35.8	3879	35128	36
114	334	10204989	x	90290013104	90290	male	4W	359	1.23	1.48	171	0.97	32	3970	24070	16
39	139	10106383	x	90281013111	90281	male	4W	302	1.03	2.01	159	0.95	25.4	3319	17345	46
104	324	10139044	x	90283013111	90283	male	4W	775	1.04	1.43	168	1.86	57.8	2805	25798	5
75	235	10220917	x	90292013111	90292	male	4W	700	0.65	1.15	197	0.84	35	2501	31315	97
52	212	10136967		90282013104	90282	male	4W	420	0.61	1.60	195	1.02	34.8	3663	32034	18
12	112	10152148		90285013104	90285	male	4W	352	0.52	1.31	173	0.84	26.9	3695	35535	15
116	336	10085017		90277013104	90277	male	4W	274	0.64	1.68	169	0.82	33.3	4515	47915	40
51	211	10219315		90291013104	90291	male	4W	554	0.90	1.39	188	1.17	26.4	2896	18462	66
60	220	10063633		90276013104	90276	male	4W	389	0.67	1.66	172	0.78	29.2	2866	21554	21
22	122	10059369		90275013104	90275	male	4W	595	0.55	1.44	180	0.91	27.9	3205	24489	170
136	416	10171010		90286013104	90286	male	4W	669	0.81	1.19	180	0.94	18.8	2571	17468	89
6	106	10179267		90288013104	90288	male	4W	500	0.59	1.30	158	1.09	23	5815	39160	115
61	221	10175431		90287013104	90287	male	4W	498	0.59	1.43	176	0.85	9.2	1851	21794	19
120	340	10139710		90284013104	90284	male	4W	710	0.85	1.32	183	0.91	44	4936	32171	135
64	224	10088113		90278013104	90278	male	4W	690	1.10	1.55	170	1.75	57.4	4918	23070	46
57	217	10093702		90279013104	90279	male	4W	633	0.80	1.75	164	1.49	31.5	4521	19602	56
94	314	10046461	x	90267013111	90267	female	8W	553	0.80	1.52	150	1.23	81.1	2358	14665	71
55	215	10044841	x	90255013104	90255	female	8W	846	0.79	1.35	161	1.51	69.6	2176	13833	13
59	219	10044760	x	90254013111	90254	female	8W	854	0.73	1.31	172	1.09	60.6	2113	7784	5
124	404	10045309	x	90259013111	90259	female	8W	369	0.55	1.55	172	1.00	50.3	2142	15100	15
117	337	10045228	x	90258013111	90258	female	8W	447	1.00	1.64	165	1.61	51.6	2173	16019	5
76	236	10044256	x	90251013111	90251	female	8W	873	1.32	1.60	163	2.61	114.1	2055	11923	5
65	225	10045651		90261013104	90261	female	8W	565	0.64	1.55	170	1.19	62.3	2490	15333	5
112	332	10046542		90268013104	90268	female	8W	638	1.17	1.47	157	2.08	62.3	3268	12343	38
95	315	10046976		90272013104	90272	female	8W	939	0.92	1.23	157	1.19	51.5	1829	9586	58
30	130	10046895		90271013104	90271	female	8W	560	1.15	1.71	156	2.08	52	3051	13484	24
33	133	10043608		90246013104	90246	female	8W	338	0.35	1.38	171	0.73	52.3	4234	9325	41
48	208	10046623		90269013104	90269	female	8W	646	0.85	1.36	155	1.29	37.3	1609	13662	42
98	318	10045732		90262013104	90262	female	8W	633	0.79	1.81	151	1.39	94.1	2186	13455	36
37	137	10046704		90270013104	90270	female	8W	604	0.89	1.27	155	1.58	92.8	2432	5957	45
1	101	10025707	x	90223013111	90223	male	8W	412	0.77	1.36	179	1.31	17	2850	16431	36
9	109	10025979	x	90225013111	90225	male	8W	388	0.57	1.36	182	0.94	59.8	2577	29076	70
68	228	10026193	x	90227013111	90227	male	8W	257	0.47	1.97	174	0.96	46.7	3134	14927	39
7	107	10024735	x	90218013111	90218	male	8W	563	0.54	1.07	162	0.75	23.4	2466	9517	63
26	126	10027165	x	90234013104	90234	male	8W	381	0.62	1.41	172	0.72	76.4	2998	8684	35
119	339	10025626	x	90222013111	90222	male	8W	452	0.65	1.64	177	0.93	46.1	2476	8483	16
102	322	10026940		90233013104	90233	male	8W	366	0.57	1.61	175	0.86	30.7	2662	26217	22
108	328	10025898		90224013104	90224	male	8W	382	0.31	2.16	229	0.70	16.4	2432	9107	87
56	216	10027084		90235013104	90235	male	8W	419	0.96	1.78	160	0.87	33.7	2959	18958	49
83	303	10026436		90230013104	90230	male	8W	744	0.80	1.33	169	1.44	42.5	3443	29980	27
99	319	10027408		90238013104	90238	male	8W	261	0.61	1.61	184	0.52	34.7	2533	12251	22
45	205	10027912		90241013104	90241	male	8W	414	0.72	1.49	169	1.11	26.7	3316	11849	45
19	119	10027246		90236013104	90236	male	8W	501	0.96	1.98	154	1.06	54	2666	13341	40
41	201	10046380	x	90266013111	90266	female	SED	887	1.23	1.63	123	2.03	95	2628	18054	23
13	113	10046119	x	90265013111	90265	female	SED	474	0.80	1.74	164	1.65	98.5	2504	29083	33
42	202	10044337	x	90252013111	90252	female	SED	996	1.01	1.23	132	2.64	103.2	2332	18695	17
121	401	10043950	x	90248013111	90248	female	SED	917	1.00	1.38	151	1.95	64.2	1655	19476	38
81	301	10043527	x	90245013111	90245	female	SED	803	0.53	1.80	147	1.29	145.7	2249	14278	47
21	121	10044922	x	90256013104	90256	female	SED	1416	0.82	1.27	118	1.50	161.3	1310	10043	26
69	229	10046038		90264013104	90264	female	SED	690	0.57	1.34	168	1.64	76.5	2882	23839	5
122	402	10044418		90253013104	90253	female	SED	694					67.5	1778	17816	
103	323	10044094		90249013104	90249	female	SED	928					61.5	514	10055	43
144	424	10045570		90260013104	90260	female	SED	558	1.03	1.52	163	2.29	32.8	2912	19484	25
34	134	10045813		90263013104	90263	female	SED	650	0.77	1.42	145	1.47	104.2	3158	18732	109
50	210	10026355	x	90229013111	90229	male	SED	596	0.83	2.96	167	1.00	40.8	2669	40847	5
134	414	10026517	x	90231013104	90231	male	SED	749	0.75	1.06	175	1.22	69.1	3440	58397	32
24	124	10026789	x	90232013111	90232	male	SED	636	0.89	1.12	193	1.14	42.1	3530	38471	37
123	403	10027327	x	90237013111	90237	male	SED	463	0.71	1.52	169	1.09	13	2278	37940	5
10	110	10023259	x	90217013111	90217	male	SED	867	0.69	0.94	181	0.97	27.1	3634	37155	11
82	302	10027599	x	90239013111	90239	male	SED	453	0.71	1.36	184	1.15	32.3	3262	45889	66
43	203	10027831		90240013104	90240	male	SED	656	1.27	1.37	188	1.40	28.3	2981	33895	16
79	239	10026002		90226013104	90226	male	SED	644	0.98	1.79	169	1.16	36.4	3674	39248	10
14	114	10025545		90221013104	90221	male	SED	311	0.43	2.28	175	1.00	10.7	3137	49461	10
