pid	iowa_id	omics_analysis	sex	group	runseq	corticosterone	glucagon	glucose	glycerol	insulin	insulin_pm	insulin_uu_ml	ketones	lactate	leptin	nefa
10025707	06M8T11	TRUE	Male	8W	1	36	17	179	1.31	2850	491.4	65.55	412	1.36	16431	0.77
10561072	06MST17	TRUE	Male	1W	2	70	38.6	171	1.92	3702	638.3	85.146	473	1.44	50383	0.98
10886028	06FST20	FALSE	Female	1W	3	58	80.4	141	1.82	2357	406.4	54.211	1158	1.11	17774	0.78
10675086	06MST29	FALSE	Male	1W	4	18	26.7	172	2.32	4173	719.5	95.979	687	1.02	31187	1.12
10434046	06MST4	FALSE	Male	2W	5	108	19.9	171	1.31	2682	462.4	61.686	681	1.45	24704	0.69
10179267	06M4T16	FALSE	Male	4W	6	115	23	158	1.09	5815	1002.6	133.745	500	1.3	39160	0.59
10024735	06M8T3	TRUE	Male	8W	7	63	23.4	162	0.75	2466	425.2	56.718	563	1.07	9517	0.54
10300007	06F4T5	FALSE	Female	4W	8	76	82.9	143	2.33	2967	511.6	68.241	913	1.27	11626	1.19
10025979	06M8T13	TRUE	Male	8W	9	70	59.8	182	0.94	2577	444.3	59.271	388	1.36	29076	0.57
10023259	06M8T1	TRUE	Male	SED	10	11	27.1	181	0.97	3634	626.6	83.582	867	0.94	37155	0.69
10734945	06FST6	TRUE	Female	2W	11	31	4.3	146	1.15	2169	374	49.887	972	1.16	12917	0.77
10152148	06M4T13	FALSE	Male	4W	12	15	26.9	173	0.84	3695	637.1	84.985	352	1.31	35535	0.52
10046119	06F8T22	TRUE	Female	SED	13	33	98.5	164	1.65	2504	431.7	57.592	474	1.74	29083	0.8
10025545	06M8T9	FALSE	Male	SED	14	10	10.7	175	1	3137	540.9	72.151	311	2.28	49461	0.43
10972374	06FST30	FALSE	Female	2W	15	67	53.1	155	1.22	2412	415.9	55.476	681	1.29	20258	0.79
10677887	06MST30	FALSE	Male	1W	16	139	58.4	173	1.64	4232	729.7	97.336	766	1.04	52334	1.11
10901434	06FST22	TRUE	Female	1W	17	70	96	143	1.33	2203	379.8	50.669	1006	1.01	11129	0.72
10335730	06F4T11	FALSE	Female	4W	18	29	57.7	167	1.25	2787	480.5	64.101	384	1.56	10914	0.6
10027246	06M8T24	FALSE	Male	8W	19	40	54	154	1.06	2666	459.7	61.318	501	1.98	13341	0.96
10095241	06M4T7	TRUE	Male	4W	20	36	35.8	173	1.43	3879	668.8	89.217	377	2.09	35128	0.73
10044922	06F8T12	TRUE	Female	SED	21	26	161.3	118	1.5	1310	225.9	30.13	1416	1.27	10043	0.82
10059369	06M4T1	FALSE	Male	4W	22	170	27.9	180	0.91	3205	552.6	73.715	595	1.44	24489	0.55
10672656	06MST28	TRUE	Male	2W	23	130	14.2	186	1.05	5171	891.6	118.933	533	1.2	19523	0.56
