id	feature_ID	metabolite_refmet	CURRENT_REFMET_NAME	refmet_name	metabolite_name	lipid_class	chain_length	double_bond	sn_position	super_class	main_class	sub_class	Final_Class_Edited	formula	exactmass	pubchem_cid	kegg_id	inchi_key	lm_id	hmdb_id	chebi_id	is_review	NEW_CLASSES	Proposed.Classification	Added.By	Final_Class	CUSTOM_CLASS	Source	X	dataset
3-methyl-2-oxovalerate	1	3-methyl-2-oxovalerate	3-Methyl-2-oxovaleric acid	3-Methyl-2-oxovaleric acid	3-Methyl-2-oxovaleric acid	3-methyl-2-oxovalerate	NA	NA	NA	NA	Organic acids	Keto acids	Short-chain keto acids	Amino acids, Amino acid like and derivatives	C6H10O7	134.063	47	C06008	JVQYSWDUAOAHFM-UHFFFAOYSA-N			NA	0	Organic Acids	Amino acids, Amino acid like and derivatives	NB	Amino acids, Amino acid like and derivatives	Amino acids, Amino acid like and derivatives		NA	metab-t-ka
5'-methylthioadenosine	2	5'-methylthioadenosine	5'-Methylthioadenosine	5'-Methylthioadenosine	5'-Methylthioadenosine	methylthioadenosine	NA	NA	NA	NA	Nucleic acids	Purines	Purine ribonucleosides	Nucleotides and derivatives	C11H15N5O3S	297.0896	439176	C00170	WUUGFSXJNOTRMR-IOSLPCCCSA-N		HMDB0001173	17509	0	Nucleic Acids	Nucleotides and derivatives	NB	Nucleotides and derivatives	Nucleic Acids		NA	metab-t-nuc
adenosine	3	adenosine	Adenosine	Adenosine	Adenosine	adenosine	NA	NA	NA	NA	Nucleic acids	Purines	Purine ribonucleosides	Nucleotides and derivatives	C10H13N5O4	267.0968	60961	C00212	OIRDTQYFTABQOQ-KQYNXXCUSA-N		HMDB0000050	16335	0	Nucleic Acids	Nucleotides and derivatives	NB	Nucleotides and derivatives	Nucleic Acids		NA	metab-u-hilicpos
ADP	4	ADP	ADP	ADP	ADP	ADP	NA	NA	NA	NA	Nucleic acids	Purines	Purine rNDP	Nucleotides and derivatives	C10H15N5O10P2	427.0294	6022	C00008	XTWYTFMLZFPYCI-KQYNXXCUSA-N		HMDB0001341	16761	0	Nucleic Acids	Nucleotides and derivatives	NB	Nucleotides and derivatives	Nucleic Acids		NA	metab-t-nuc
Alanine	5	Alanine	Alanine	Alanine	Alanine	alanine	NA	NA	NA	NA	Organic acids	Amino acids and peptides	Amino acids	Amino acids, Amino acid like and derivatives	C3H7NO2	89.04768	5950	C00041	QNAYBMKLOCPYGJ-REOHCLBHSA-N		HMDB0000161	16977	0	Amino Acids	Amino acids, Amino acid like and derivatives	NB	Amino acids, Amino acid like and derivatives	Amino Acids		NA	metab-t-amines
AMP	6	AMP	AMP	AMP	AMP	AMP	NA	NA	NA	NA	Nucleic acids	Purines	Purine rNMP	Nucleotides and derivatives	C10H14N5O7P	347.0631	6083	C00020	UDMBCSSLTHHNCD-KQYNXXCUSA-N		HMDB0000045	16027	0	Nucleic Acids	Nucleotides and derivatives	NB	Nucleotides and derivatives	Nucleic Acids		NA	metab-t-nuc
Anserine	7	Anserine	Anserine	Anserine	Anserine	anserine	NA	NA	NA	NA	Organic acids	Amino acids and peptides	Hybrid peptides	Amino acids, Amino acid like and derivatives	C10H16N4O3	240.1222	112072	C01262	MYYIAHXIVFADCU-QMMMGPOBSA-N		HMDB0000194	18323	0	Peptides			Amino acids, Amino acid like and derivatives	Peptides		NA	metab-t-amines
Arginine	8	Arginine	Arginine	Arginine	Arginine	arginine	NA	NA	NA	NA	Organic acids	Amino acids and peptides	Amino acids	Amino acids, Amino acid like and derivatives	C6H14N4O2	174.1117	6322	C00062	ODKSFYDXXFIFQN-BYPYZUCNSA-N		HMDB0000517	16467	0	Amino Acids	Amino acids, Amino acid like and derivatives	NB	Amino acids, Amino acid like and derivatives	Amino Acids		NA	metab-t-amines
Asparagine	9	Asparagine	Asparagine	Asparagine	Asparagine	asparagine	NA	NA	NA	NA	Organic acids	Amino acids and peptides	Amino acids	Amino acids, Amino acid like and derivatives	C4H8N2O3	132.0535	6267	C00152	DCXYFEDJOCDNAF-REOHCLBHSA-N		HMDB0000168	17196	0	Amino Acids	Amino acids, Amino acid like and derivatives	NB	Amino acids, Amino acid like and derivatives	Amino Acids		NA	metab-t-amines
Aspartic Acid	10	Aspartic Acid	Aspartic acid	Aspartic acid	Aspartic acid	aspartate	NA	NA	NA	NA	Organic acids	Amino acids and peptides	Amino acids	Amino acids, Amino acid like and derivatives	C4H7NO4	133.0375	5960	C00049	CKLJMWTZIZZHCS-REOHCLBHSA-N		HMDB0000191	17053	0	Amino Acids	Amino acids, Amino acid like and derivatives	NB	Amino acids, Amino acid like and derivatives	Amino Acids		NA	metab-t-amines
