feature_ID	dataset	name_in_figures	lipid_class	chain_length	double_bond	sn_position	refmet_super_class	refmet_main_class	refmet_sub_class
3-methyl-2-oxovalerate	metab-t-ka	3-Methyl-2-oxovaleric acid	NA	NA	NA	NA	Organic acids	Keto acids	Short-chain keto acids
5'-methylthioadenosine	metab-t-nuc	5'-Methylthioadenosine	NA	NA	NA	NA	Nucleic acids	Purines	Purine ribonucleosides
adenosine	metab-u-hilicpos	Adenosine	NA	NA	NA	NA	Nucleic acids	Purines	Purine ribonucleosides
ADP	metab-t-nuc	ADP	NA	NA	NA	NA	Nucleic acids	Purines	Purine rNDP
Alanine	metab-t-amines	Alanine	NA	NA	NA	NA	Organic acids	Amino acids and peptides	Amino acids
AMP	metab-t-nuc	AMP	NA	NA	NA	NA	Nucleic acids	Purines	Purine rNMP
Anserine	metab-t-amines	Anserine	NA	NA	NA	NA	Organic acids	Amino acids and peptides	Hybrid peptides
Arginine	metab-t-amines	Arginine	NA	NA	NA	NA	Organic acids	Amino acids and peptides	Amino acids
Asparagine	metab-t-amines	Asparagine	NA	NA	NA	NA	Organic acids	Amino acids and peptides	Amino acids
Aspartic Acid	metab-t-amines	Aspartic acid	NA	NA	NA	NA	Organic acids	Amino acids and peptides	Amino acids
ATP	metab-t-nuc	ATP	NA	NA	NA	NA	Nucleic acids	Purines	Purine rNTP
beta-Alanine	metab-t-amines	beta-Alanine	NA	NA	NA	NA	Organic acids	Amino acids and peptides	Amino acids
biliverdin	metab-u-hilicpos	Biliverdin	NA	NA	NA	NA	Organoheterocyclic compounds	Bilirubins	Bilirubins
C10 carnitine	metab-u-hilicpos	CAR 10:0	Car	10	0	NA	Fatty Acyls	Fatty esters	Acyl carnitines
C12 carnitine	metab-u-hilicpos	CAR 12:0	Car	12	0	NA	Fatty Acyls	Fatty esters	Acyl carnitines
C12:1 carnitine	metab-u-hilicpos	CAR 12:1	Car	12	1	NA	Fatty Acyls	Fatty esters	Acyl carnitines
